"card-img href","card-img src","card-rating","line-clamp","product-main-price","line-clamp href 2","md-text-base","md-text-xs","md-text-base 2","md-text-xs 2"
"https://uk.webuy.com/product-detail?id=4012927151280&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=27FB66A68C2A620A34551F907930022F&position=504","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/4012927151280_l.jpg","","Deliver At All Costs","£18.00","https://uk.webuy.com/sell/product-detail?id=4012927151280&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=27FB66A68C2A620A34551F907930022F&position=504","£11.00","Trade in for Voucher","£8.00","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=3701529518706&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=27FB66A68C2A620A34551F907930022F&position=505","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/3701529518706_l.jpg","","Double Dragon Revive","£35.00","https://uk.webuy.com/sell/product-detail?id=3701529518706&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=27FB66A68C2A620A34551F907930022F&position=505","£22.00","Trade in for Voucher","£16.00","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=3701529503771&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=27FB66A68C2A620A34551F907930022F&position=506","https://uk.static.webuy.com/product_images/Gaming/Playstation5%20Software/3701529503771_l.jpg","","Marsupilami: Hoobadventure","£22.00","https://uk.webuy.com/sell/product-detail?id=3701529503771&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=27FB66A68C2A620A34551F907930022F&position=506","£14.00","Trade in for Voucher","£10.00","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=3665962025491&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=27FB66A68C2A620A34551F907930022F&position=507","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/3665962025491_l.jpg","","Ambulance Life: A Paramedic Simulator","£20.00","https://uk.webuy.com/sell/product-detail?id=3665962025491&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=27FB66A68C2A620A34551F907930022F&position=507","£13.00","Trade in for Voucher","£9.00","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=3391892039580&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=27FB66A68C2A620A34551F907930022F&position=508","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/3391892039580_l.jpg","","My Hero Academia: All's Justice","£48.00","https://uk.webuy.com/sell/product-detail?id=3391892039580&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=27FB66A68C2A620A34551F907930022F&position=508","£33.00","Trade in for Voucher","£27.00","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=3391892037531&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=27FB66A68C2A620A34551F907930022F&position=509","https://uk.static.webuy.com/product_images/Gaming/Playstation5%20Software/3391892037531_l.jpg","","Little Nightmares: Enhanced Edition","£25.00","https://uk.webuy.com/sell/product-detail?id=3391892037531&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=27FB66A68C2A620A34551F907930022F&position=509","£16.00","Trade in for Voucher","£11.00","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=3391892031119&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=27FB66A68C2A620A34551F907930022F&position=510","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/3391892031119_l.jpg","","Dragonball Xenoverse 2","£15.00","https://uk.webuy.com/sell/product-detail?id=3391892031119&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=27FB66A68C2A620A34551F907930022F&position=510","£9.00","Trade in for Voucher","£6.00","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=0884095225957&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=511","https://uk.static.webuy.com/product_images/Gaming/Playstation5%20Software/0884095225957_l.jpg","","Painkiller","£15.00","https://uk.webuy.com/sell/product-detail?id=0884095225957&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=511","£9.00","Trade in for Voucher","£6.00","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=8057168501414&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=512","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/8057168501414_l.jpg","5","MXGP 2020","£10.00","https://uk.webuy.com/sell/product-detail?id=8057168501414&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=512","£6.00","Trade in for Voucher","£4.00","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=5060690796183&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=513","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/5060690796183_l.jpg","5","White Day: A Labyrinth Named School","£8.00","https://uk.webuy.com/sell/product-detail?id=5060690796183&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=513","£5.00","Trade in for Voucher","£3.00","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=5060528038065&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=514","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/5060528038065_l.jpg","5","Paw Patrol: Grand Prix","£18.00","https://uk.webuy.com/sell/product-detail?id=5060528038065&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=514","£11.00","Trade in for Voucher","£8.00","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=5056635615060&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=515","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/5056635615060_l.jpg","5","Turok Trilogy Bundle","£28.00","https://uk.webuy.com/sell/product-detail?id=5056635615060&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=515","£18.00","Trade in for Voucher","£12.00","Trade in for Cash"
"https://uk.webuy.com/product-detail?id=5056635602381&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=516","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/5056635602381_l.jpg","5","Shadow Warrior 3","£15.00","https://uk.webuy.com/sell/product-detail?id=5056635602381&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=92CF7CDECBC9814D8123DF056C26AA3C&position=516","£9.00","Trade in for Voucher","£6.00","Trade in for Cash"
